stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,stop_direction
STOP_14102,,Bondojito,Metro. Línea 4,19.46450842,-99.1117537,,,0,,0,
STOP_14103,,La Raza,"Metro. Línea 5, correspondencia con línea 3.",19.468965,-99.136176,,,0,,0,
STOP_14104,,Misterios,Metro. Línea 5,19.46290002,-99.13051844,,,0,,0,
STOP_14105,,Norte 45,Metro. Línea 6,19.48823803,-99.16249037,,,0,,0,
STOP_14106,,Vallejo,Metro. Línea 6,19.49031142,-99.15479779,,,0,,0,
STOP_14107,,Refinería,Metro. Línea 7,19.46911098,-99.18985963,,,0,,0,
STOP_14108,,Tacuba,"Metro. Línea 7, correspondencia con línea 2.",19.458383,-99.188501,,,0,Tacuba,0,
STOP_14109,,Centro Médico,"Metro. Línea 9, correspondencia con línea 3.",19.40636329,-99.15504456,,,0,Centro_medico,0,
STOP_14110,,Chilpancingo,Metro. Línea 9,19.40575613,-99.1683054,,,0,,0,
STOP_14111,,Panteones,Metro. Línea 2,19.458219,-99.20294,,,0,,0,
STOP_14112,,Tacuba,"Metro. Línea 2, correspondencia con línea 7.",19.45913691,-99.18803573,,,0,Tacuba,0,
STOP_14113,,San Joaquín,Metro. Línea 7,19.44553033,-99.19160843,,,0,,0,
STOP_14114,,Polanco,Metro. Línea 7,19.43337954,-99.19079304,,,0,,0,
STOP_14115,,Auditorio,Metro. Línea 7,19.42530549,-99.19173717,,,0,,0,
STOP_14116,,Constituyentes,Metro. Línea 7,19.41129131,-99.19138312,,,0,,0,
STOP_14117,,Cuatro Caminos,Metro. Línea 2,19.458454,-99.214643,,,0,,0,
STOP_14118,,Sevilla,Metro. Línea 1,19.4215921,-99.17063355,,,0,,0,
STOP_14119,,Chapultepec,Metro. Línea 1,19.42025648,-99.17658806,,,0,,0,
STOP_14120,,Juanacatlán,Metro. Línea 1,19.41290022,-99.18207049,,,0,,0,
STOP_14121,,Patriotismo,Metro. Línea 9,19.40559422,-99.1784656,,,0,,0,
STOP_14122,,Tacubaya,"Metro. Línea 9, correspondencia con línea 1 y línea 7.",19.40247744,-99.18730617,,,0,Tacubaya,0,
STOP_14123,,Popotla,Metro. Línea 2,19.45261196,-99.17546153,,,0,,0,
STOP_14124,,Colegio Militar,Metro. Línea 2,19.44864628,-99.17122364,,,0,,0,
STOP_14125,,Cuitláhuac,Metro. Línea 2,19.45668,-99.181555,,,0,,0,
STOP_14126,,Normal,Metro. Línea 2,19.44424548,-99.1671896,,,0,,0,
STOP_14127,,El Rosario,"Metro. Línea 6, correspondencia con línea 7.",19.50522896,-99.19948339,,,0,El_Rosario,0,
STOP_14128,,Tezozómoc,Metro. Línea 6,19.49448847,-99.19593215,,,0,,0,
STOP_14129,,Azcapotzalco,Metro. Línea 6,19.49067553,-99.18621182,,,0,,0,
STOP_14130,,El Rosario,"Metro. Línea 7, correspondencia con línea 6.",19.5039547,-99.20029879,,,0,El_Rosario,0,
STOP_14131,,Aquiles Serdán,Metro. Línea 7,19.489367,-99.194511,,,0,,0,
STOP_14132,,Camarones,Metro. Línea 7,19.47873042,-99.18894768,,,0,,0,
STOP_14133,,Ferrería,Metro. Línea 6,19.49039233,-99.173702,,,0,,0,
STOP_14134,,Candelaria,"Metro. Línea 1, correspondencia con línea 4.",19.42909974,-99.11989689,,,0,Candelaria,0,
STOP_14135,,Merced,Metro. Línea 1,19.42546738,-99.12541151,,,0,,0,
STOP_14136,,Zócalo,Metro. Línea 2,19.432602,-99.131879,,,0,,0,
STOP_14137,,Pino Suárez,"Metro. Línea 2, correspondencia con línea 1.",19.42433415,-99.13313627,,,0,,0,
STOP_14138,,Juárez,Metro. Línea 3,19.43336942,-99.14771676,,,0,,0,
STOP_14139,,Balderas,"Metro. Línea 3, correspondencia con línea 1.",19.42692438,-99.1488111,,,0,Balderas,0,
STOP_14140,,Valle Gómez,Metro. Línea 5,19.45868169,-99.11988616,,,0,,0,
STOP_14141,,Bellas Artes,"Metro. Línea 8, correspondencia con línea 2.",19.43649573,-99.14061427,,,0,Bellas_Artes,0,
STOP_14142,,San Juan de Letrán,Metro. Línea 8,19.43098165,-99.14116144,,,0,,0,
STOP_14143,,La Viga,Metro. Línea 8,19.406106,-99.125973,,,0,,0,
STOP_14144,,Jamaica,"Metro. Línea 9, correspondencia con línea 4.",19.40894369,-99.12227869,,,0,,0,
STOP_14145,,Chabacano,"Metro. Línea 9, correspondencia con línea 2 y línea 8.",19.408513,-99.135489,,,0,Chabacano,0,
STOP_14146,,R. Flores Magón,Metro. Línea B,19.43628327,-99.10342813,,,0,,0,
STOP_14147,,San Lázaro,"Metro. Línea B, correspondencia con línea 1.",19.431822,-99.114463,,,0,,0,
STOP_14148,,Tepito,Metro. Línea B,19.44256606,-99.12323356,,,0,,0,
STOP_14149,,Isabel la Católica,Metro. Línea 1,19.4260947,-99.13782477,,,0,,0,
STOP_14151,,Niños Héroes,Metro. Línea 3,19.41946724,-99.15023804,,,0,,0,
STOP_14152,,Hospital General,Metro. Línea 3,19.41369961,-99.1531992,,,0,,0,
STOP_14153,,Doctores,Metro. Línea 8,19.42049932,-99.14335012,,,0,,0,
STOP_14154,,Obrera,Metro. Línea 8,19.41301153,-99.14392948,,,0,,0,
STOP_14155,,Chabacano,"Metro. Línea 8, correspondencia con línea 2 y línea 9.",19.40853892,-99.13574338,,,0,Chabacano,0,
STOP_14156,,Lázaro Cárdenas,Metro. Línea 9,19.40702104,-99.14433718,,,0,,0,
STOP_14157,,Balderas,"Metro. Línea 1, correspondencia con línea 3.",19.42729875,-99.14912224,,,0,Balderas,0,
STOP_14158,,Salto del Agua,"Metro. Línea 8, correspondencia con línea 1.",19.42720768,-99.14207339,,,0,Salto_del_Agua,0,
STOP_14159,,Chabacano,"Metro. Línea 2, correspondencia con línea 8 y línea 9.",19.40891333,-99.13542151,,,0,Chabacano,0,
STOP_14160,,San Antonio Abad,Metro. Línea 2,19.4159055,-99.13429499,,,0,,0,
STOP_14161,,Pino Suárez,"Metro. Línea 1, correspondencia con línea 2.",19.42602387,-99.13273931,,,0,,0,
STOP_14162,,Bellas Artes,"Metro. Línea 2, correspondencia con línea 8.",19.43658679,-99.14214849,,,0,Bellas_Artes,0,
STOP_14163,,Allende,Metro. Línea 2,19.43547387,-99.13670897,,,0,,0,
STOP_14164,,Guerrero,"Metro. Línea 3, correspondencia con línea B.",19.44475133,-99.14501309,,,0,Guerrero,0,
STOP_14165,,Garibaldi,"Metro. Línea B, correspondencia con línea 8.",19.443376,-99.139954,,,0,Garibaldi,0,
