service_id,date,exception_type
14741,20150916,2
16203,20150916,2
28960,20150916,1
36479,20150916,2
38501,20150916,2
40074,20150916,2
38504,20150916,1
36238,20150916,2
38742,20150916,2
38754,20150916,2
38824,20150916,2
38832,20150916,2
38827,20150916,1
38835,20150916,1
16092,20150916,2
36489,20150916,2
40450,20150916,2
42651,20150916,2
42652,20150916,2
16233,20150916,1
39389,20150916,1
26656,20150916,2
36384,20150916,2
26949,20150916,1


